%bin  freq(Hz)  sens (h/sqrt(Hz)

1274  127.45  5.002e-23
1288  128.85  4.985e-23
1303  130.35  4.969e-23
1318  131.85  4.953e-23
1334  133.45  4.938e-23
1349  134.95  4.922e-23
1365  136.55  4.907e-23
1380  138.05  4.892e-23
1396  139.65  4.877e-23
1413  141.35  4.863e-23
1429  142.95  4.849e-23
1445  144.55  4.835e-23
1462  146.25  4.822e-23
1479  147.95  4.808e-23
1496  149.65  4.795e-23
1514  151.45  4.782e-23
1531  153.15  4.77e-23
1549  154.95  4.758e-23
1567  156.75  4.745e-23
1585  158.55  4.734e-23
1603  160.35  4.722e-23
1622  162.25  4.711e-23
1641  164.15  4.699e-23
1660  166.05  4.689e-23
1679  167.95  4.678e-23
1698  169.85  4.667e-23
1718  171.85  4.657e-23
1738  173.85  4.647e-23
1758  175.85  4.638e-23
1778  177.85  4.628e-23
1799  179.95  4.619e-23
1820  182.05  4.61e-23
1841  184.15  4.601e-23
1862  186.25  4.592e-23
1884  188.45  4.584e-23
1905  190.55  4.576e-23
1928  192.85  4.568e-23
1950  195.05  4.56e-23
1972  197.25  4.553e-23
1995  199.55  4.546e-23
2018  201.85  4.539e-23
2042  204.25  4.532e-23
2065  206.55  4.526e-23
2089  208.95  4.519e-23
2113  211.35  4.513e-23
2138  213.85  4.508e-23
2163  216.35  4.502e-23
2188  218.85  4.497e-23
2213  221.35  4.492e-23
2239  223.95  4.488e-23
2265  226.55  4.483e-23
2291  229.15  4.479e-23
2317  231.75  4.475e-23
2344  234.45  4.472e-23
2371  237.15  4.468e-23
2399  239.95  4.465e-23
2427  242.75  4.463e-23
2455  245.55  4.46e-23
2483  248.35  4.458e-23
2512  251.25  4.456e-23
2541  254.15  4.455e-23
2570  257.05  4.454e-23
2600  260.05  4.454e-23
2630  263.05  4.454e-23
2661  266.15  4.454e-23
2692  269.25  4.455e-23
2723  272.35  4.457e-23
2754  275.45  4.459e-23
2786  278.65  4.462e-23
2818  281.85  4.466e-23
2851  285.15  4.472e-23
2884  288.45  4.48e-23
2917  291.75  4.49e-23
2951  295.15  4.505e-23
2985  298.55  4.526e-23
3020  302.05  4.558e-23
3055  305.55  4.613e-23
3090  309.05  4.718e-23
3126  312.65  4.972e-23
3162  316.25  5.903e-23
3199  319.95  2.645e-19
3236  323.65  1.043e-22
3273  327.35  5.403e-23
3311  331.15  4.828e-23
3350  335.05  4.659e-23
3388  338.85  4.591e-23
3428  342.85  4.559e-23
3467  346.75  4.544e-23
3508  350.85  4.537e-23
3548  354.85  4.535e-23
3589  358.95  4.536e-23
3631  363.15  4.539e-23
3673  367.35  4.544e-23
3715  371.55  4.55e-23
3758  375.85  4.556e-23
3802  380.25  4.564e-23
3846  384.65  4.572e-23
3890  389.05  4.581e-23
3936  393.65  4.591e-23
3981  398.15  4.601e-23
4027  402.75  4.611e-23
4074  407.45  4.623e-23
4121  412.15  4.634e-23
4169  416.95  4.646e-23
4217  421.75  4.659e-23
4266  426.65  4.672e-23
4315  431.55  4.685e-23
4365  436.55  4.699e-23
4416  441.65  4.714e-23
4467  446.75  4.729e-23
4519  451.95  4.744e-23
4571  457.15  4.76e-23
4624  462.45  4.777e-23
4677  467.75  4.793e-23
4732  473.25  4.811e-23
4786  478.65  4.829e-23
4842  484.25  4.847e-23
4898  489.85  4.866e-23
4955  495.55  4.886e-23
5012  501.249  4.906e-23
5070  507.049  4.926e-23
5129  512.949  4.947e-23
5188  518.849  4.969e-23
5248  524.849  4.991e-23
5309  530.949  5.013e-23
5370  537.049  5.037e-23
5433  543.349  5.06e-23
5495  549.549  5.085e-23
5559  555.949  5.11e-23
5623  562.349  5.135e-23
5689  568.949  5.162e-23
5754  575.449  5.188e-23
5821  582.149  5.216e-23
5888  588.849  5.244e-23
5957  595.749  5.273e-23
6026  602.649  5.303e-23
6095  609.549  5.334e-23
6166  616.649  5.367e-23
6237  623.749  5.404e-23
6310  631.049  5.458e-23
6383  638.349  4.409e-20
6457  645.749  6.454e-23
6531  653.149  5.56e-23
6607  660.749  5.567e-23
6683  668.349  5.596e-23
6761  676.149  5.629e-23
6839  683.949  5.664e-23
6918  691.849  5.7e-23
6998  699.849  5.737e-23
7079  707.949  5.775e-23
7161  716.149  5.814e-23
7244  724.449  5.854e-23
7328  732.849  5.894e-23
7413  741.349  5.936e-23
7499  749.949  5.977e-23
7586  758.649  6.02e-23
7674  767.449  6.064e-23
7762  776.249  6.108e-23
7852  785.249  6.153e-23
7943  794.349  6.199e-23
8035  803.549  6.245e-23
8128  812.849  6.293e-23
8222  822.249  6.341e-23
8318  831.849  6.39e-23
8414  841.449  6.44e-23
8511  851.149  6.491e-23
8610  861.049  6.542e-23
8710  871.049  6.595e-23
8810  881.049  6.648e-23
8913  891.349  6.702e-23
9016  901.649  6.757e-23
9120  912.049  6.813e-23
9226  922.649  6.87e-23
9333  933.349  6.928e-23
9441  944.149  6.988e-23
9550  955.049  1.156e-20
9661  966.149  1.138e-20
9772  977.249  7.172e-23
9886  988.649  7.23e-23
10000  1000.05  7.292e-23
10120  1012.05  7.356e-23
10230  1023.05  7.421e-23
10350  1035.05  7.487e-23
10470  1047.05  7.554e-23
10590  1059.05  7.622e-23
10720  1072.05  7.691e-23
10840  1084.05  7.761e-23
10960  1096.05  7.832e-23
11090  1109.05  7.904e-23
11220  1122.05  7.977e-23
11350  1135.05  8.052e-23
11480  1148.05  8.127e-23
11610  1161.05  8.203e-23
11750  1175.05  8.281e-23
11890  1189.05  8.359e-23
12020  1202.05  8.439e-23
12160  1216.05  8.52e-23
12300  1230.05  8.602e-23
12450  1245.05  8.685e-23
12590  1259.05  8.769e-23
12740  1274.05  5.8e-21
12880  1288.05  5.715e-21
13030  1303.05  9.029e-23
13180  1318.05  9.117e-23
13340  1334.05  9.207e-23
13490  1349.05  9.299e-23
13650  1365.05  9.391e-23
13800  1380.05  9.485e-23
13960  1396.05  9.58e-23
14130  1413.05  9.676e-23
14290  1429.05  9.774e-23
14450  1445.05  9.873e-23
14620  1462.05  9.973e-23
14790  1479.05  1.007e-22
14960  1496.05  1.018e-22
15140  1514.05  1.028e-22
15310  1531.05  1.039e-22
15490  1549.05  1.049e-22
15670  1567.05  1.06e-22
15850  1585.05  3.422e-21
16030  1603.05  3.372e-21
16220  1622.05  1.094e-22
16410  1641.05  1.105e-22
16600  1660.05  1.117e-22
16790  1679.05  1.128e-22
16980  1698.05  1.14e-22
17180  1718.05  1.152e-22
17380  1738.05  1.164e-22
17580  1758.05  1.177e-22
17780  1778.05  1.189e-22
17990  1799.05  1.202e-22
18200  1820.05  1.215e-22
18410  1841.05  1.228e-22
18620  1862.05  1.241e-22
18840  1884.05  1.254e-22
19050  1905.05  2.23e-21
19280  1928.05  2.197e-21
19500  1950.05  1.295e-22
19720  1972.05  1.309e-22
19950  1995.05  1.323e-22
20180  2018.05  1.337e-22
20420  2042.05  1.352e-22
20650  2065.05  1.366e-22
20890  2089.05  1.381e-22
21130  2113.05  1.396e-22
21380  2138.05  1.412e-22
21630  2163.05  1.427e-22
21880  2188.05  1.443e-22
22130  2213.05  1.458e-22
22390  2239.05  2.179e-21
22650  2265.05  1.491e-22
22910  2291.05  1.507e-22
23170  2317.05  1.524e-22
23440  2344.05  1.54e-22
23710  2371.05  1.557e-22
23990  2399.05  1.575e-22
24270  2427.05  1.592e-22
24550  2455.05  1.61e-22
24830  2483.05  1.627e-22
25120  2512.05  1.645e-22
25410  2541.05  1.142e-21
25700  2570.05  1.126e-21
26000  2600.05  1.701e-22
26300  2630.05  1.72e-22
26610  2661.05  1.739e-22
26920  2692.05  1.758e-22
27230  2723.05  1.778e-22
27540  2754.05  1.798e-22
27860  2786.05  1.818e-22
28180  2818.05  1.838e-22
28510  2851.05  8.755e-22
28840  2884.05  8.639e-22
29170  2917.05  1.901e-22
29510  2951.05  1.922e-22
29850  2985.05  1.944e-22
30200  3020.05  1.966e-22
30550  3055.05  1.988e-22
30900  3090.05  2.01e-22
31260  3126.05  2.033e-22
31620  3162.05  2.056e-22
31990  3199.05  9.585e-22
32360  3236.05  2.102e-22
32730  3273.05  2.126e-22
33110  3311.05  2.15e-22
33500  3350.05  2.174e-22
33880  3388.05  2.199e-22
34280  3428.05  2.224e-22
34670  3467.05  2.249e-22
35080  3508.05  7.8e-22
35480  3548.05  2.3e-22
35890  3589.05  2.326e-22
36310  3631.05  2.353e-22
36730  3673.05  2.38e-22
37150  3715.05  2.407e-22
37580  3758.05  2.434e-22
38020  3802.05  4.972e-22
38460  3846.05  4.931e-22
38900  3890.05  2.518e-22
39360  3936.05  2.547e-22
39810  3981.05  2.576e-22
40270  4027.05  2.605e-22
40740  4074.05  2.635e-22
41210  4121.05  4.454e-22
41690  4169.05  4.43e-22
42170  4217.05  2.726e-22
42660  4266.05  2.757e-22
43150  4315.05  2.789e-22
43650  4365.05  2.821e-22
44160  4416.05  2.853e-22
44670  4467.05  5.093e-22
45190  4519.05  2.919e-22
45710  4571.05  2.953e-22
46240  4624.05  2.987e-22
46770  4677.05  3.021e-22
47320  4732.05  3.056e-22
47860  4786.05  4.712e-22
48420  4842.05  3.127e-22
48980  4898.05  3.163e-22
49550  4955.05  3.2e-22
50120  5012.04  3.237e-22
50700  5070.04  3.929e-22
51290  5129.04  3.944e-22
51880  5188.04  3.355e-22
52480  5248.04  3.397e-22
53090  5309.04  3.442e-22
53700  5370.04  3.492e-22
54330  5433.04  4.426e-22
54950  5495.04  3.691e-22
55590  5559.04  4.702e-18
56230  5623.04  5.067e-18
56890  5689.04  3.999e-22
57540  5754.04  4.421e-22
58210  5821.04  3.78e-22
58880  5888.04  3.809e-22
59570  5957.04  3.846e-22
60260  6026.04  4.142e-22
60950  6095.04  4.175e-22
61660  6166.04  3.973e-22
62370  6237.04  4.017e-22
63100  6310.04  4.063e-22
63830  6383.04  4.477e-22
64570  6457.04  4.156e-22
65310  6531.04  4.204e-22
66070  6607.04  4.252e-22
66830  6683.04  4.445e-22
67610  6761.04  4.489e-22
68390  6839.04  4.4e-22
69180  6918.04  4.451e-22
69980  6998.04  4.613e-22
70790  7079.04  4.66e-22
71610  7161.04  4.606e-22
72440  7244.04  4.659e-22
73280  7328.04  4.88e-22
74130  7413.04  4.767e-22
74990  7499.04  4.822e-22
75860  7586.04  4.878e-22
76740  7674.04  5.064e-22
77620  7762.04  4.991e-22
78520  7852.04  5.048e-22
79430  7943.04  5.159e-22
80350  8035.04  5.216e-22
81280  8128.04  5.225e-22
82220  8222.04  5.285e-22
83180  8318.04  5.428e-22
84140  8414.04  5.408e-22
85110  8511.04  5.47e-22
86100  8610.04  5.599e-22
87100  8710.04  5.597e-22
88100  8810.04  5.662e-22
89130  8913.04  5.754e-22
90160  9016.04  5.819e-22
91200  9120.04  5.86e-22
92260  9226.04  5.95e-22
93330  9333.04  6.017e-22
94410  9441.04  6.065e-22
95500  9550.04  6.154e-22
96610  9661.04  6.224e-22
97720  9772.04  6.278e-22
98860  9886.04  6.38e-22
100000  10000  6.424e-22
