freq	hVirgo50W
389	3,041E-23
393,6	3,045E-23
398,1	3,05E-23
402,7	3,055E-23
407,4	3,061E-23
412,1	3,066E-23
416,9	3,072E-23
421,7	3,079E-23
426,6	3,085E-23
431,5	3,092E-23
436,5	3,099E-23
441,6	3,107E-23
446,7	3,114E-23
451,9	3,122E-23
457,1	3,131E-23
462,4	3,139E-23
467,7	3,148E-23
473,2	3,158E-23
478,6	3,167E-23
484,2	3,177E-23
489,8	3,188E-23
495,5	3,198E-23
501,2	3,209E-23
507	3,221E-23
512,9	3,232E-23
518,8	3,244E-23
524,8	3,257E-23
530,9	3,269E-23
537	3,283E-23
543,3	3,296E-23
549,5	3,31E-23
555,9	3,324E-23
562,3	3,339E-23
568,9	3,354E-23
575,4	3,369E-23
582,1	3,385E-23
588,8	3,401E-23
595,7	3,418E-23
602,6	3,435E-23
609,5	3,452E-23
616,6	3,47E-23
623,7	3,488E-23
631	3,507E-23
638,3	3,526E-23
645,7	3,545E-23
653,1	3,565E-23
660,7	3,586E-23
668,3	3,606E-23
676,1	3,628E-23
683,9	3,649E-23
691,8	3,672E-23
699,8	3,694E-23
707,9	3,717E-23
716,1	3,741E-23
724,4	3,765E-23
732,8	3,789E-23
741,3	3,814E-23
749,9	3,84E-23
758,6	3,866E-23
767,4	3,892E-23
776,2	3,919E-23
785,2	3,947E-23
794,3	3,975E-23
803,5	4,003E-23
812,8	4,032E-23
822,2	4,062E-23
831,8	4,092E-23
841,4	4,122E-23
851,1	4,153E-23
861	4,185E-23
871	4,217E-23
881	4,25E-23
891,3	4,283E-23
901,6	4,317E-23
912	4,352E-23
922,6	4,387E-23
933,3	4,422E-23
944,1	4,458E-23
955	4,495E-23
966,1	4,533E-23
977,2	4,571E-23
988,6	4,609E-23
1000	4,648E-23
1012	4,688E-23
1023	4,729E-23
1035	4,77E-23
1047	4,811E-23
1059	4,854E-23
1072	4,897E-23
1084	4,94E-23
1096	4,985E-23
1109	5,03E-23
1122	5,075E-23
1135	5,122E-23
1148	5,169E-23
1161	5,216E-23
1175	5,265E-23
1189	5,314E-23
1202	5,364E-23
1216	5,414E-23
1230	5,465E-23
1245	5,517E-23
1259	5,57E-23
1274	5,624E-23
1288	5,678E-23
1303	5,733E-23
1318	5,789E-23
1334	5,845E-23
1349	5,902E-23
1365	5,96E-23
1380	6,019E-23
1396	6,079E-23
1413	6,14E-23
1429	6,201E-23
1445	6,263E-23
1462	6,326E-23
1479	6,39E-23
1496	6,455E-23
1514	6,52E-23
1531	6,587E-23
1549	6,654E-23
1567	6,722E-23
1585	6,791E-23
1603	6,861E-23
1622	6,932E-23
1641	7,004E-23
1660	7,077E-23
1679	7,151E-23
1698	7,225E-23
1718	7,301E-23
1738	7,378E-23
1758	7,455E-23
1778	7,534E-23
1799	7,613E-23
1820	7,694E-23
1841	7,776E-23
1862	7,859E-23
1884	7,942E-23
1905	8,027E-23
1928	8,113E-23
1950	8,2E-23
1972	8,289E-23
1995	8,378E-23
2018	8,468E-23
2042	8,56E-23
2065	8,652E-23
2089	8,746E-23
2113	8,841E-23
2138	8,937E-23
2163	9,035E-23
2188	9,133E-23
2213	9,233E-23
2239	9,334E-23
